model_name,model_type,subset_accuracy,macro_f1,weighted_f1,micro_f1,hamming_loss
BERT-base,Encoder,0.44813278008298757,0.8335142254085737,0.8586032927481076,0.8598890942698705,0.1310511756569848
FinBERT,Encoder (Domain),0.42738589211618255,0.821468374945411,0.8516744532112451,0.8534418948926721,0.13692946058091288
RoBERTa-base,Encoder,0.495850622406639,0.8514030063870731,0.8715265246704874,0.8720800889877642,0.11929460580912864
FinBERT-Tone,Encoder (Domain),0.35892116182572614,0.7738426327915312,0.8205374550846234,0.8210992253780893,0.1677040110650069
FinBERT-ESG,Encoder (Domain),0.3651452282157676,0.7770500249347615,0.8240909507691436,0.8288750458043239,0.16147994467496543
SecBERT,Encoder (Domain),0.43568464730290457,0.8079451366552896,0.8440558938944602,0.8484623934790664,0.14142461964038727
DistilRoBERTa,Encoder (Light),0.4107883817427386,0.8253074419957809,0.8507869250838599,0.8500371195248702,0.1396957123098202
DistilBERT,Encoder (Light),0.4460580912863071,0.8245151098244773,0.8517384454417019,0.8545051698670606,0.13623789764868602
DeBERTa-v3-small,Advanced Encoder,0.44190871369294604,0.8373778158671256,0.8614100527516524,0.8623057462956272,0.13174273858921162
ELECTRA-small,Advanced Encoder,0.4066390041493776,0.7639396999093945,0.8200495162911136,0.8298969072164949,0.15975103734439833
ELECTRA-base,Advanced Encoder,0.4605809128630705,0.8450875463443491,0.8687964113945614,0.8698857353483228,0.12206085753803596
ALBERT-base-v2,Advanced Encoder,0.475103734439834,0.8474569162326692,0.8685519064676736,0.8700481303221029,0.12136929460580913
XLNet-base,Advanced Encoder,0.49377593360995853,0.8551725239710573,0.8747696809040814,0.8768834987137081,0.11583679114799447
BART-base,Encoder-Decoder,0.470954356846473,0.8453322493265886,0.8658993952629543,0.8653633345628919,0.12621023513139695
DistilBART-cnn,Encoder-Decoder (Light),0.42323651452282157,0.8371499235697982,0.8602807353925624,0.8603554588320638,0.13312586445366528
