model_name,model_type,Advocacy & Warning_f1,Advocacy & Warning_precision,Advocacy & Warning_recall,Community Building & Solidarity Seeking_f1,Community Building & Solidarity Seeking_precision,Community Building & Solidarity Seeking_recall,Emotional & Esteem Support-Seeking_f1,Emotional & Esteem Support-Seeking_precision,Emotional & Esteem Support-Seeking_recall,Informational Help-Seeking_f1,Informational Help-Seeking_precision,Informational Help-Seeking_recall,Instrumental Help-Seeking_f1,Instrumental Help-Seeking_precision,Instrumental Help-Seeking_recall,Sense-Making & Narrative Construction_f1,Sense-Making & Narrative Construction_precision,Sense-Making & Narrative Construction_recall,Venting / Catharsis_f1,Venting / Catharsis_precision,Venting / Catharsis_recall
BERT-base,Encoder,0.860655737704918,0.9130434782608695,0.813953488372093,0.606060606060606,0.7368421052631579,0.5147058823529411,0.6238532110091743,0.56353591160221,0.6986301369863014,0.5655172413793104,0.5774647887323944,0.5540540540540541,0.7488584474885845,0.7884615384615384,0.7130434782608696,0.6993006993006993,0.7633587786259542,0.6451612903225806,0.6666666666666667,0.703030303030303,0.6338797814207651
FinBERT,Encoder (Domain),0.858267716535433,0.872,0.8449612403100775,0.6844106463878327,0.7086614173228346,0.6617647058823529,0.5977859778597786,0.648,0.5547945205479452,0.5890410958904109,0.5972222222222222,0.581081081081081,0.7661691542288558,0.8953488372093024,0.6695652173913044,0.7303754266211605,0.7753623188405797,0.6903225806451613,0.6306306306306306,0.7,0.5737704918032787
RoBERTa-base,Encoder,0.8816326530612245,0.9310344827586207,0.8372093023255814,0.6586345381526105,0.7256637168141593,0.6029411764705882,0.6036363636363636,0.6434108527131783,0.5684931506849316,0.5571428571428572,0.5909090909090909,0.527027027027027,0.7815126050420168,0.7560975609756098,0.808695652173913,0.728624535315985,0.8596491228070176,0.632258064516129,0.654867256637168,0.7115384615384616,0.6065573770491803
FinBERT-Tone,Encoder (Domain),0.814516129032258,0.8487394957983193,0.7829457364341085,0.4313725490196078,0.6470588235294118,0.3235294117647059,0.6170212765957447,0.6397058823529411,0.5958904109589042,0.5470588235294117,0.484375,0.6283783783783784,0.6598984771573604,0.7926829268292683,0.5652173913043478,0.6627218934911243,0.6120218579234973,0.7225806451612903,0.5830903790087464,0.625,0.546448087431694
FinBERT-ESG,Encoder (Domain),0.8063241106719368,0.8225806451612904,0.7906976744186046,0.5390625,0.575,0.5073529411764706,0.6007326007326007,0.6456692913385826,0.5616438356164384,0.5226480836236934,0.539568345323741,0.5067567567567568,0.6568627450980391,0.7528089887640449,0.5826086956521739,0.5759493670886076,0.5652173913043478,0.5870967741935483,0.6000000000000001,0.6101694915254238,0.5901639344262295
SecBERT,Encoder (Domain),0.8296943231441047,0.95,0.7364341085271318,0.6169491525423728,0.5723270440251572,0.6691176470588235,0.6666666666666667,0.5404255319148936,0.8698630136986302,0.6048109965635738,0.6153846153846154,0.5945945945945946,0.6804123711340206,0.8354430379746836,0.5739130434782609,0.6171875000000001,0.7821782178217822,0.5096774193548387,0.5932203389830507,0.6140350877192983,0.5737704918032787
DistilRoBERTa,Encoder (Light),0.8680851063829786,0.9622641509433962,0.7906976744186046,0.6748971193415637,0.7663551401869159,0.6029411764705882,0.6075085324232081,0.6054421768707483,0.6095890410958904,0.6018808777429467,0.5614035087719298,0.6486486486486487,0.7524752475247524,0.8735632183908046,0.6608695652173913,0.6823529411764706,0.87,0.5612903225806452,0.6384180790960451,0.6608187134502924,0.6174863387978142
DistilBERT,Encoder (Light),0.8603773584905661,0.8382352941176471,0.8837209302325582,0.6177606177606176,0.6504065040650406,0.5882352941176471,0.5785123966942148,0.7291666666666666,0.4794520547945205,0.47346938775510206,0.5979381443298969,0.3918918918918919,0.7363636363636363,0.7714285714285715,0.7043478260869566,0.6875000000000001,0.7443609022556391,0.6387096774193548,0.6822916666666666,0.6517412935323383,0.7158469945355191
DeBERTa-v3-small,Advanced Encoder,0.860655737704918,0.9130434782608695,0.813953488372093,0.6613545816733067,0.7217391304347827,0.6102941176470589,0.5987261146496814,0.5595238095238095,0.6438356164383562,0.5267175572519085,0.6052631578947368,0.46621621621621623,0.7012987012987012,0.6982758620689655,0.7043478260869566,0.6496350364963503,0.7478991596638656,0.5741935483870968,0.6202531645569621,0.7368421052631579,0.5355191256830601
ELECTRA-small,Advanced Encoder,0.848,0.8760330578512396,0.8217054263565892,0.05714285714285715,1.0,0.029411764705882353,0.6020066889632107,0.5882352941176471,0.6164383561643836,0.47368421052631576,0.675,0.36486486486486486,0.6634146341463414,0.7555555555555555,0.591304347826087,0.6343283582089552,0.7522123893805309,0.5483870967741935,0.47678018575851394,0.55,0.4207650273224044
ELECTRA-base,Advanced Encoder,0.9003984063745021,0.9262295081967213,0.875968992248062,0.6753246753246752,0.8210526315789474,0.5735294117647058,0.6066666666666667,0.5909090909090909,0.6232876712328768,0.6666666666666667,0.728,0.6148648648648649,0.784688995215311,0.8723404255319149,0.7130434782608696,0.7132867132867134,0.7786259541984732,0.6580645161290323,0.6939890710382514,0.6939890710382514,0.6939890710382514
ALBERT-base-v2,Advanced Encoder,0.8666666666666667,0.9369369369369369,0.8062015503875969,0.6523605150214592,0.7835051546391752,0.5588235294117647,0.6228373702422145,0.6293706293706294,0.6164383561643836,0.5536332179930795,0.5673758865248227,0.5405405405405406,0.7522123893805309,0.7657657657657657,0.7391304347826086,0.6827586206896551,0.7333333333333333,0.6387096774193548,0.6348314606741573,0.653179190751445,0.6174863387978142
XLNet-base,Advanced Encoder,0.8825910931174089,0.923728813559322,0.8449612403100775,0.6482213438735178,0.7008547008547008,0.6029411764705882,0.6062717770034843,0.6170212765957447,0.5958904109589042,0.5974025974025973,0.575,0.6216216216216216,0.7706422018348624,0.8155339805825242,0.7304347826086957,0.7022900763358778,0.8598130841121495,0.5935483870967742,0.6078431372549019,0.7560975609756098,0.5081967213114754
BART-base,Encoder-Decoder,0.8699186991869918,0.9145299145299145,0.8294573643410853,0.5876777251184834,0.8266666666666667,0.45588235294117646,0.6366366366366366,0.5668449197860963,0.726027397260274,0.48148148148148157,0.7647058823529411,0.35135135135135137,0.7377049180327868,0.6976744186046512,0.782608695652174,0.6829268292682928,0.9230769230769231,0.5419354838709678,0.6740947075208913,0.6875,0.6612021857923497
DistilBART-cnn,Encoder-Decoder (Light),0.8593155893536122,0.8432835820895522,0.875968992248062,0.6271186440677965,0.74,0.5441176470588235,0.56,0.6730769230769231,0.4794520547945205,0.5777777777777778,0.639344262295082,0.527027027027027,0.7735849056603774,0.845360824742268,0.7130434782608696,0.6642335766423357,0.7647058823529411,0.5870967741935483,0.6259946949602123,0.6082474226804123,0.644808743169399
