model_name,model_type,subset_accuracy,macro_f1,weighted_f1,micro_f1,hamming_loss
BERT-base,Encoder,0.2717842323651452,0.6815589442299943,0.676618856692144,0.6755784061696658,0.18701837581505631
FinBERT,Encoder (Domain),0.27385892116182575,0.6938115211648717,0.6867334659773995,0.6869428421604614,0.17694131594546533
RoBERTa-base,Encoder,0.27385892116182575,0.6951501155697465,0.6882850018775852,0.6891820580474936,0.17457024303497332
FinBERT-Tone,Encoder (Domain),0.2033195020746888,0.6165256468334647,0.6127517957509693,0.6168032786885246,0.22169531713100177
FinBERT-ESG,Encoder (Domain),0.1887966804979253,0.6145113438878396,0.6096823655582558,0.6095433555669574,0.22554831061055128
SecBERT,Encoder (Domain),0.23651452282157676,0.6584201927191129,0.6524227475004004,0.6509999999999999,0.20687611144042678
DistilRoBERTa,Encoder (Light),0.26141078838174275,0.6893739862411378,0.6824836664188509,0.67859021567596,0.18109069353882631
DistilBERT,Encoder (Light),0.2551867219917012,0.6623250091044005,0.6577510827546005,0.6652653704676826,0.1887966804979253
DeBERTa-v3-small,Advanced Encoder,0.23651452282157676,0.659805841947404,0.6533459831065702,0.6543340380549681,0.1938352104327208
ELECTRA-small,Advanced Encoder,0.16182572614107885,0.5364795621065992,0.5306581232815983,0.5650904845300643,0.22080616478956727
ELECTRA-base,Advanced Encoder,0.3132780082987552,0.7201458849389695,0.7144606969127154,0.7139874739039667,0.16241849436870184
ALBERT-base-v2,Advanced Encoder,0.27385892116182575,0.680757177238252,0.6738134097334841,0.672906916276651,0.18642560758743332
XLNet-base,Advanced Encoder,0.2842323651452282,0.6878946038318071,0.6795036826064769,0.6794258373205742,0.17871962062833432
BART-base,Encoder-Decoder,0.2800829875518672,0.6672058567493664,0.6624515282669198,0.6706199460916442,0.18109069353882631
DistilBART-cnn,Encoder-Decoder (Light),0.26348547717842324,0.6697178840660161,0.6619431377857428,0.665249734325186,0.18672199170124482
